Time, fixType, gnssFixOk, headVehValid, invalid_llh, Lat, Lon, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError
4/8/21438 0:0:15, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269518.49, 303.75, 335.00, -0.17, 335.00, 0.00
3/29/2025 22:20:28, 0, 0, 0, 0, 673045762, -1007435092, 0, 0, 0, 0, 3951862.50, 152.55, 335.00, 0.99, 335.00, 0.00
3/29/2025 22:20:29, 0, 0, 0, 0, 670915009, -966008470, 0, 0, 0, 0, 3856074.84, 158.32, 334.94, -0.98, 334.94, 0.00
3/29/2025 22:20:30, 3, 1, 0, 0, 334925356, -820051251, 7, 200, 31925438, 0, 10.12, 232.10, 334.94, -0.57, 15.68, 0.00
3/29/2025 22:20:30, 3, 1, 0, 0, 334925356, -820051251, 7, 200, 31925438, 0, 10.12, 232.10, 235.50, -0.02, -83.75, 0.00
3/29/2025 22:20:38, 3, 1, 0, 0, 334925450, -820051532, 11, 331, 22768176, 0, 9.04, 216.53, 228.19, -0.06, 0.51, 0.00
3/29/2025 22:20:39, 3, 1, 0, 0, 334925425, -820051571, 13, 464, 21600348, 0, 8.60, 215.69, 220.00, -0.02, 4.00, 0.00
3/29/2025 22:20:40, 3, 1, 0, 0, 334925394, -820051585, 14, 426, 20302388, 0, 8.25, 216.36, 216.87, -0.00, 13.85, 0.00
3/29/2025 22:20:41, 3, 1, 0, 0, 334925357, -820051603, 14, 534, 20030102, 0, 7.82, 217.16, 223.74, -0.04, 23.44, -5.74
3/29/2025 22:20:42, 3, 1, 0, 0, 334925315, -820051622, 14, 536, 20193926, 0, 7.34, 218.27, 218.92, -0.00, 16.98, -5.74
3/29/2025 22:20:43, 3, 1, 0, 0, 334925274, -820051640, 14, 528, 19413878, 0, 6.88, 219.53, 219.24, 0.00, 25.10, -5.74
3/29/2025 22:20:44, 3, 1, 0, 0, 334925227, -820051655, 14, 570, 19404018, 0, 6.39, 221.55, 220.61, 0.01, 26.57, -5.74
3/29/2025 22:20:45, 3, 1, 0, 0, 334925176, -820051664, 15, 577, 19098534, 0, 5.92, 224.59, 222.30, 0.01, 31.31, -5.74
3/29/2025 22:20:46, 3, 1, 0, 0, 334925127, -820051679, 15, 590, 19571520, 0, 5.44, 227.58, 223.80, 0.02, 28.08, -5.74
3/29/2025 22:20:47, 3, 1, 0, 0, 334925077, -820051698, 15, 583, 19950672, 0, 4.94, 230.96, 227.05, 0.02, 27.54, -5.74
3/29/2025 22:20:48, 3, 1, 0, 0, 334925033, -820051717, 16, 516, 20211052, 0, 4.51, 234.38, 230.67, 0.02, 28.56, -5.74
3/29/2025 22:20:49, 3, 1, 0, 0, 334924988, -820051739, 16, 564, 20691074, 0, 4.06, 238.45, 232.99, 0.03, 26.08, -5.74
3/29/2025 22:20:50, 3, 1, 0, 0, 334924944, -820051765, 16, 560, 20916096, 0, 3.61, 243.07, 239.05, 0.02, 29.89, -5.74
3/29/2025 22:20:51, 3, 1, 0, 0, 334924905, -820051794, 16, 518, 21465758, 0, 3.18, 247.84, 216.88, 0.17, 2.22, 20.62
3/29/2025 22:20:52, 3, 1, 0, 0, 334924867, -820051828, 16, 550, 21938492, 0, 2.75, 253.53, 244.50, 0.05, 25.12, 20.62
3/29/2025 22:20:54, 3, 1, 0, 0, 334924825, -820051882, 16, 300, 24360432, 0, 2.16, 261.69, 257.31, 0.02, 13.71, 20.62
3/29/2025 22:20:55, 3, 1, 0, 0, 334924816, -820051920, 16, 419, 25576810, 0, 1.79, 263.23, 263.31, -0.00, 7.55, 20.62
3/29/2025 22:20:56, 3, 1, 0, 0, 334924811, -820051969, 16, 486, 26535976, 0, 14.78, 304.42, 252.43, 0.29, -12.93, 32.76
3/29/2025 22:20:56, 3, 1, 0, 0, 334924811, -820051969, 16, 486, 26535976, 0, 14.78, 304.42, 301.24, 0.02, 35.88, 32.76
3/29/2025 22:21:0, 3, 1, 0, 0, 334924817, -820052083, 16, 161, 29562688, 0, 13.88, 306.67, 312.06, -0.03, 16.43, 32.76
3/29/2025 22:21:1, 3, 1, 0, 0, 334924839, -820052106, 16, 384, 32169730, 0, 13.56, 306.37, 308.81, -0.01, -12.89, 32.76
3/29/2025 22:21:2, 3, 1, 0, 0, 334924867, -820052131, 16, 367, 32197656, 0, 13.19, 305.88, 308.12, -0.01, -13.86, 32.76
3/29/2025 22:21:3, 3, 1, 0, 0, 334924901, -820052165, 16, 512, 31850562, 0, 12.71, 305.33, 308.18, -0.02, -10.33, 32.76
3/29/2025 22:21:4, 3, 1, 0, 0, 334924940, -820052203, 16, 551, 32178268, 0, 12.17, 304.63, 308.24, -0.02, -13.54, 32.76
3/29/2025 22:21:5, 3, 1, 0, 0, 334924981, -820052242, 16, 563, 32084926, 0, 11.62, 303.79, 306.99, -0.02, -13.86, 32.76
3/29/2025 22:21:6, 3, 1, 0, 0, 334925021, -820052285, 18, 558, 31664306, 0, 11.04, 303.02, 310.53, -0.04, -6.12, 29.22
3/29/2025 22:21:7, 3, 1, 0, 0, 334925060, -820052331, 18, 572, 31611460, 0, 10.45, 302.31, 304.15, -0.01, -11.96, 29.22
3/29/2025 22:21:8, 3, 1, 0, 0, 334925095, -820052372, 18, 476, 31510196, 0, 9.92, 301.58, 303.15, -0.01, -11.95, 29.22
3/29/2025 22:21:9, 3, 1, 0, 0, 334925127, -820052419, 20, 541, 31097846, 0, 9.36, 301.12, 303.15, -0.01, -7.83, 29.22
3/29/2025 22:21:10, 3, 1, 0, 0, 334925163, -820052473, 23, 567, 30929652, 0, 8.73, 300.57, 303.34, -0.02, -5.96, 29.22
3/29/2025 22:21:11, 3, 1, 0, 0, 334925201, -820052527, 23, 574, 31028134, 0, 8.08, 299.79, 303.84, -0.02, -6.44, 29.22
3/29/2025 22:21:12, 3, 1, 0, 0, 334925242, -820052583, 23, 580, 31078102, 0, 7.40, 298.73, 301.71, -0.02, -9.07, 29.22
3/29/2025 22:21:13, 3, 1, 0, 0, 334925279, -820052637, 23, 545, 30907866, 0, 6.77, 297.71, 301.65, -0.02, -7.43, 29.22
3/29/2025 22:21:14, 3, 1, 0, 0, 334925314, -820052689, 23, 573, 30796648, 0, 6.16, 296.59, 299.59, -0.02, -8.38, 29.22
3/29/2025 22:21:15, 3, 1, 0, 0, 334925347, -820052741, 23, 554, 30681120, 0, 5.57, 295.44, 299.59, -0.02, -7.22, 29.22
3/29/2025 22:21:16, 3, 1, 0, 0, 334925379, -820052794, 23, 571, 30520556, 0, 4.97, 294.17, 305.39, -0.06, 0.18, 20.99
3/29/2025 22:21:17, 3, 1, 0, 0, 334925410, -820052847, 23, 547, 30343364, 0, 4.38, 292.69, 297.57, -0.03, -5.86, 20.99
3/29/2025 22:21:19, 3, 1, 0, 0, 334925452, -820052941, 26, 532, 29024870, 0, 3.40, 291.09, 293.57, -0.01, 3.32, 20.99
3/29/2025 22:21:20, 3, 1, 0, 0, 334925471, -820052998, 26, 568, 28992718, 0, 2.83, 290.95, 293.57, -0.01, 3.65, 20.99
3/29/2025 22:21:21, 3, 1, 0, 0, 334925491, -820053056, 26, 575, 29094338, 0, 2.25, 290.56, 293.82, -0.02, 2.88, 20.99
3/29/2025 22:21:22, 3, 1, 0, 0, 334925512, -820053116, 26, 585, 29127284, 0, 1.65, 289.75, 294.51, -0.03, 3.24, 20.99
3/29/2025 22:21:23, 3, 1, 0, 0, 334925530, -820053168, 26, 461, 29086104, 0, 6.70, 342.02, 289.65, 0.29, -1.21, 22.23
3/29/2025 22:21:23, 3, 1, 0, 0, 334925530, -820053168, 26, 461, 29086104, 0, 6.70, 342.02, 338.71, 0.02, 47.85, 22.23
3/29/2025 22:21:27, 3, 1, 0, 0, 334925579, -820053265, 27, 265, 34000356, 0, 5.94, 348.66, 349.52, -0.00, 9.52, 22.23
3/29/2025 22:21:28, 3, 1, 0, 0, 334925613, -820053275, 27, 429, 34749164, 0, 5.56, 348.83, 353.52, -0.03, 6.03, 22.23
3/29/2025 22:21:29, 3, 1, 0, 0, 334925651, -820053282, 27, 413, 35350700, 0, 5.13, 348.63, 350.46, -0.01, -3.05, 22.23
3/29/2025 22:21:30, 3, 1, 0, 0, 334925694, -820053292, 27, 513, 34701488, 0, 4.64, 348.59, 350.34, -0.01, 3.32, 22.23
3/29/2025 22:21:31, 3, 1, 0, 0, 334925743, -820053305, 29, 545, 34910816, 0, 4.08, 348.73, 350.27, -0.01, 1.17, 22.23
3/29/2025 22:21:32, 3, 1, 0, 0, 334925793, -820053317, 29, 554, 34875792, 0, 3.52, 348.74, 350.34, -0.01, 1.58, 22.23
3/29/2025 22:21:33, 3, 1, 0, 0, 334925843, -820053331, 29, 565, 34830700, 0, 2.94, 349.11, 350.34, -0.01, 2.03, 22.23
3/29/2025 22:21:34, 3, 1, 0, 0, 334925894, -820053344, 29, 569, 34814000, 0, 2.37, 349.38, 343.22, 0.03, -4.92, 29.34
3/29/2025 22:21:35, 3, 1, 0, 0, 334925940, -820053357, 29, 491, 34512504, 0, 1.84, 350.13, 348.97, 0.01, 3.85, 29.34
3/29/2025 22:21:36, 3, 1, 0, 0, 334925981, -820053364, 29, 440, 35480108, 0, 9.41, 324.78, 350.51, -0.14, -4.29, 28.80
3/29/2025 22:21:36, 3, 1, 0, 0, 334925981, -820053364, 29, 440, 35480108, 0, 9.41, 324.78, 328.07, -0.02, -26.73, 28.80
3/29/2025 22:21:39, 3, 1, 0, 0, 334926071, -820053384, 30, 340, 33168688, 0, 8.49, 321.90, 321.38, 0.00, -10.30, 28.80
3/29/2025 22:21:40, 3, 1, 0, 0, 334926106, -820053409, 31, 491, 32722642, 0, 8.04, 321.49, 320.76, 0.00, -6.47, 28.80
3/29/2025 22:21:41, 3, 1, 0, 0, 334926146, -820053439, 31, 541, 32684534, 0, 7.52, 321.04, 320.76, 0.00, -6.09, 28.80
3/29/2025 22:21:42, 3, 1, 0, 0, 334926190, -820053472, 31, 569, 32732360, 0, 6.95, 320.47, 320.76, -0.00, -6.57, 28.80
3/29/2025 22:21:43, 3, 1, 0, 0, 334926234, -820053504, 31, 569, 32882728, 0, 6.39, 319.73, 320.76, -0.01, -8.07, 28.80
3/29/2025 22:21:44, 3, 1, 0, 0, 334926280, -820053535, 31, 577, 33019306, 0, 5.81, 318.63, 320.76, -0.01, -9.44, 28.80
3/29/2025 22:21:45, 3, 1, 0, 0, 334926326, -820053566, 31, 580, 33026106, 0, 5.24, 317.29, 320.76, -0.02, -9.50, 28.80
3/29/2025 22:21:46, 3, 1, 0, 0, 334926372, -820053597, 31, 582, 33084060, 0, 4.67, 315.62, 330.45, -0.08, -0.39, 19.11
3/29/2025 22:21:47, 3, 1, 0, 0, 334926418, -820053625, 31, 563, 33297572, 0, 4.12, 313.23, 319.20, -0.03, -13.78, 19.11
3/29/2025 22:21:48, 3, 1, 0, 0, 334926454, -820053651, 31, 425, 32668912, 0, 3.68, 311.26, 311.89, -0.00, -14.80, 19.11
3/29/2025 22:21:49, 3, 1, 0, 0, 334926485, -820053686, 31, 496, 31247186, 0, 3.21, 310.45, 310.57, -0.00, -1.90, 19.11
3/29/2025 22:21:50, 3, 1, 0, 0, 334926519, -820053728, 31, 553, 31295214, 0, 2.66, 309.70, 310.14, -0.00, -2.82, 19.11
3/29/2025 22:21:51, 3, 1, 0, 0, 334926554, -820053774, 31, 570, 31240144, 0, 2.09, 308.96, 310.14, -0.01, -2.26, 19.11
3/29/2025 22:21:52, 3, 1, 0, 0, 334926591, -820053821, 31, 573, 31329140, 0, 1.49, 307.19, 310.14, -0.02, -3.15, 19.11
3/29/2025 22:21:53, 3, 1, 0, 0, 334926629, -820053867, 31, 590, 31442378, 0, 11.16, 272.97, 315.72, -0.24, 1.29, 13.53
3/29/2025 22:21:53, 3, 1, 0, 0, 334926629, -820053867, 31, 590, 31442378, 0, 11.16, 272.97, 276.28, -0.02, -38.15, 13.53
3/29/2025 22:21:58, 3, 1, 0, 0, 334926719, -820054036, 31, 430, 27307490, 0, 9.58, 267.47, 269.72, -0.01, -3.36, 13.53
3/29/2025 22:21:59, 3, 1, 0, 0, 334926718, -820054091, 31, 541, 26767884, 0, 9.07, 267.40, 269.47, -0.01, 1.79, 13.53
3/29/2025 22:22:0, 3, 1, 0, 0, 334926717, -820054152, 31, 575, 26881526, 0, 8.51, 267.30, 270.40, -0.02, 1.59, 13.53
3/29/2025 22:22:1, 3, 1, 0, 0, 334926717, -820054215, 31, 590, 26991392, 0, 7.92, 267.10, 271.53, -0.02, 1.61, 13.53
3/29/2025 22:22:2, 3, 1, 0, 0, 334926719, -820054272, 31, 514, 27288806, 0, 7.40, 266.72, 268.53, -0.01, -4.36, 13.53
3/29/2025 22:22:3, 3, 1, 0, 0, 334926720, -820054332, 31, 574, 26906404, 0, 6.84, 266.36, 268.53, -0.01, -0.54, 13.53
3/29/2025 22:22:4, 3, 1, 0, 0, 334926720, -820054395, 31, 583, 26963778, 0, 6.26, 266.03, 273.51, -0.04, 3.87, 8.74
3/29/2025 22:22:5, 3, 1, 0, 0, 334926721, -820054452, 31, 507, 27302482, 0, 5.73, 265.55, 267.13, -0.01, -5.89, 8.74
3/29/2025 22:22:6, 3, 1, 0, 0, 334926718, -820054510, 31, 553, 26273254, 0, 5.19, 265.45, 266.19, -0.00, 3.46, 8.74
3/29/2025 22:22:7, 3, 1, 0, 0, 334926712, -820054570, 31, 568, 26336892, 0, 4.63, 265.73, 266.38, -0.00, 3.01, 8.74
3/29/2025 22:22:8, 3, 1, 0, 0, 334926707, -820054632, 31, 585, 26476338, 0, 4.05, 265.91, 266.82, -0.01, 2.06, 8.74
