Time, fixType, gnssFixOk, headVehValid, invalid_llh, Lat, Lon, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError
4/8/2004 0:0:15, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269521.42, 303.75, 359.69, -0.31, 359.69, 0.00
3/29/2025 21:57:32, 3, 1, 0, 0, 334924366, -820050757, 9, 133, 34523100, 0, 16.11, 284.93, 358.37, -0.41, 13.14, 0.00
3/29/2025 21:57:32, 3, 1, 0, 0, 334924366, -820050757, 9, 133, 34523100, 0, 16.11, 284.93, 288.44, -0.02, -56.79, 0.00
3/29/2025 21:57:38, 3, 1, 0, 0, 334924456, -820050869, 9, 313, 28319926, 0, 14.86, 282.23, 281.56, 0.00, -1.64, 0.00
3/29/2025 21:57:39, 3, 1, 0, 0, 334924478, -820050923, 16, 436, 26885390, 0, 14.32, 281.69, 281.12, 0.00, 12.27, 0.00
3/29/2025 21:57:40, 3, 1, 0, 0, 334924494, -820050990, 16, 547, 27119496, 0, 13.68, 281.49, 281.12, 0.00, 9.93, 0.00
3/29/2025 21:57:41, 3, 1, 0, 0, 334924523, -820051070, 16, 574, 27183374, 0, 12.89, 280.74, 281.12, -0.00, 9.29, 0.00
3/29/2025 21:57:42, 3, 1, 0, 0, 334924543, -820051144, 16, 584, 27285816, 0, 12.17, 280.32, 281.12, -0.00, 8.27, 0.00
3/29/2025 21:57:43, 3, 1, 0, 0, 334924562, -820051220, 16, 594, 27227236, 0, 11.44, 279.91, 280.66, -0.00, 8.39, 0.46
3/29/2025 21:57:44, 3, 1, 0, 0, 334924572, -820051287, 16, 591, 27262716, 0, 10.81, 279.89, 280.66, -0.00, 8.03, 0.46
3/29/2025 21:57:45, 3, 1, 0, 0, 334924583, -820051355, 19, 604, 27289384, 0, 10.17, 279.83, 280.66, -0.00, 7.77, 0.46
3/29/2025 21:57:46, 3, 1, 0, 0, 334924593, -820051424, 19, 602, 27453378, 0, 9.52, 279.82, 280.66, -0.00, 6.13, 0.46
3/29/2025 21:57:47, 3, 1, 0, 0, 334924605, -820051491, 19, 595, 27595156, 0, 8.88, 279.66, 280.66, -0.01, 4.71, 0.46
3/29/2025 21:57:48, 3, 1, 0, 0, 334924615, -820051560, 21, 612, 27684636, 0, 8.23, 279.64, 280.66, -0.01, 3.81, 0.46
3/29/2025 21:57:49, 3, 1, 0, 0, 334924627, -820051629, 21, 595, 27668174, 0, 7.58, 279.46, 280.66, -0.01, 3.98, 0.46
3/29/2025 21:57:50, 3, 1, 0, 0, 334924643, -820051702, 21, 603, 27779454, 0, 6.88, 278.93, 280.66, -0.01, 2.87, 0.46
3/29/2025 21:57:51, 3, 1, 0, 0, 334924660, -820051773, 21, 615, 27911738, 0, 6.20, 278.14, 280.66, -0.01, 1.54, 0.46
3/29/2025 21:57:52, 3, 1, 0, 0, 334924677, -820051843, 21, 611, 28037156, 0, 5.53, 277.16, 280.66, -0.02, 0.29, 0.46
3/29/2025 21:57:53, 3, 1, 0, 0, 334924687, -820051908, 21, 616, 28226260, 0, 4.92, 276.75, 275.91, 0.00, -6.35, 5.22
3/29/2025 21:57:54, 3, 1, 0, 0, 334924699, -820051973, 21, 600, 28232238, 0, 4.31, 275.93, 275.91, 0.00, -6.41, 5.22
3/29/2025 21:57:55, 3, 1, 0, 0, 334924711, -820052037, 21, 612, 28303324, 0, 3.70, 274.82, 275.91, -0.01, -7.12, 5.22
3/29/2025 21:57:56, 3, 1, 0, 0, 334924725, -820052100, 21, 607, 28520190, 0, 3.11, 272.87, 275.91, -0.02, -9.29, 5.22
