Time, fixType, gnssFixOk, headVehValid, invalid_llh, Lat, Lon, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError
4/8/21442 0:0:15, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269521.42, 303.75, 332.56, -0.16, 332.56, 0.00
3/29/2025 23:9:15, 3, 0, 0, 0, 334921355, -820055227, 4, 251, 32352904, 0, 45.69, 34.53, 332.56, 0.34, 9.03, 0.00
3/29/2025 23:9:16, 3, 0, 0, 0, 334921400, -820055191, 4, 247, 32162074, 0, 45.09, 34.54, 332.56, 0.34, 10.94, 0.00
3/29/2025 23:9:17, 3, 0, 0, 0, 334921462, -820055131, 4, 211, 32162074, 0, 44.20, 34.45, 332.56, 0.34, 10.94, 0.00
3/29/2025 23:9:18, 3, 1, 0, 0, 334921496, -820055102, 5, 199, 31696800, 0, 43.74, 34.44, 332.56, 0.34, 15.59, 0.00
3/29/2025 23:9:18, 3, 1, 0, 0, 334921496, -820055102, 5, 199, 31696800, 0, 43.74, 34.44, 31.25, 0.02, -285.72, 0.00
3/29/2025 23:9:23, 3, 1, 0, 0, 334921595, -820055058, 5, 207, 2741339, 0, 42.60, 34.83, 42.38, -0.04, 14.96, 0.00
4/8/21438 0:0:15, 97, 238, 204, 200, 1056570517, 0, 0, 0, -1067024384, 1484, 6673218.07, 252.49, 307.75, -0.31, 10977.99, 0.00
4/8/21438 0:0:15, 97, 238, 204, 200, 1056570517, 0, 0, 0, -1067024384, 1484, 6673218.07, 252.49, 204.10, 0.27, 10874.34, 51.78
4/8/21438 0:0:15, 97, 238, 204, 200, 1056570517, 0, 0, 0, -1067024384, 1484, 6673218.07, 252.49, 249.10, 0.02, 10919.34, 51.78
3/29/2025 23:9:46, 3, 1, 0, 0, 334925099, -820051586, 25, 319, 30055770, 0, 8.83, 243.05, 260.10, -0.09, -40.46, 51.78
3/29/2025 23:9:47, 3, 1, 0, 0, 334925119, -820051610, 25, 325, 30816524, 0, 8.74, 241.09, 246.47, -0.03, -61.69, 51.78
3/29/2025 23:9:48, 3, 1, 0, 0, 334925137, -820051633, 26, 302, 29944170, 0, 8.66, 239.24, 241.22, -0.01, -58.22, 51.78
3/29/2025 23:9:49, 3, 1, 0, 0, 334925151, -820051671, 28, 443, 28585378, 0, 8.44, 237.11, 241.04, -0.02, -44.82, 51.78
3/29/2025 23:9:50, 3, 1, 0, 0, 334925167, -820051720, 28, 526, 28583856, 0, 8.16, 234.33, 239.22, -0.03, -46.61, 51.78
