Time, fixType, gnssFixOk, headVehValid, invalid_llh, Lat, Lon, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError
4/8/21442 0:0:15, 97, 0, 0, 0, 1065353216, 1265902592, 0, 1306845632, 480000000, 16, 4725918.05, 36.22, 356.62, 0.22, -4443.38, 0.00
3/29/2025 22:10:17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
3/29/2025 22:10:29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 356.62, -0.29, 356.62, 0.00
