Time, fixType, gnssFixOk, headVehValid, invalid_llh, Lat, Lon, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError
4/8/21438 0:0:15, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:55:50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:55:51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:55:52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:55:53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:55:54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:55:55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:55:56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:55:57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:55:58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:55:59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.30, 303.75, 7.87, -0.36, 7.87, 0.00
3/29/2025 22:56:0, 3, 1, 0, 0, 334924620, -820050893, 6, 75, 0, 0, 10.29, 268.82, 7.87, -0.55, 7.87, 0.00
3/29/2025 22:56:0, 3, 1, 0, 0, 334924620, -820050893, 6, 75, 0, 0, 10.29, 268.82, 272.12, -0.02, 272.12, 0.00
3/29/2025 22:56:9, 3, 1, 0, 0, 334924603, -820051087, 10, 433, 21882812, 0, 8.49, 269.85, 266.12, 0.02, 47.30, 0.00
3/29/2025 22:56:10, 3, 1, 0, 0, 334924563, -820051118, 12, 492, 21303844, 0, 8.21, 272.95, 268.94, 0.02, 55.90, 0.00
3/29/2025 22:56:11, 3, 1, 0, 0, 334924520, -820051156, 12, 508, 21981130, 0, 7.90, 276.55, 272.69, 0.02, 52.88, 0.00
3/29/2025 22:56:12, 3, 1, 0, 0, 334924476, -820051198, 12, 539, 22053440, 0, 7.59, 280.56, 249.13, 0.17, 28.59, 27.56
3/29/2025 22:56:13, 3, 1, 0, 0, 334924444, -820051234, 12, 367, 22403844, 0, 7.33, 283.77, 277.38, 0.04, 53.34, 27.56
