Time, fixType, gnssFixOk, headVehValid, invalid_llh, Lat, Lon, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError
4/8/4560 0:0:11, 97, 196, 23, 0, 0, 0, 239, 604036144, 134501441, 11, 9269521.42, 303.75, 1.75, -0.32, -1343.26, 0.00
4/8/4560 0:0:11, 97, 196, 23, 200, 0, 0, 239, 604036144, 134501441, 1900, 9269521.42, 303.75, 307.06, -0.02, -1037.95, 0.00
3/7/2025 20:42:24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269521.42, 303.75, 299.19, 0.03, 299.19, 0.00
3/7/2025 20:42:25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269521.42, 303.75, 298.56, 0.03, 298.56, 0.00
3/7/2025 20:42:26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269521.42, 303.75, 298.81, 0.03, 298.81, 0.00
3/7/2025 20:42:27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269521.42, 303.75, 299.50, 0.02, 299.50, 0.00
3/7/2025 20:42:28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269521.42, 303.75, 300.12, 0.02, 300.12, 0.00
3/7/2025 20:42:29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269521.42, 303.75, 300.44, 0.02, 300.44, 0.00
3/7/2025 20:42:31, 3, 1, 0, 0, 334924710, -820051249, 7, 199, 30183710, 0, 11.01, 271.68, 300.62, -0.16, -1.21, 0.00
3/7/2025 20:42:31, 3, 1, 0, 0, 334924710, -820051249, 7, 199, 30183710, 0, 11.01, 271.68, 229.71, 0.23, -72.13, 45.29
3/7/2025 20:42:31, 3, 1, 0, 200, 334924710, -820051249, 7, 199, 30183710, 1900, 11.01, 271.68, 268.27, 0.02, -33.57, 45.29
3/7/2025 20:42:38, 3, 1, 0, 0, 334924773, -820051446, 7, 806, 31991472, 0, 9.18, 267.64, 275.21, -0.04, -44.71, 45.29
3/7/2025 20:42:39, 3, 1, 0, 0, 334924826, -820051500, 7, 796, 32104236, 0, 8.73, 263.63, 269.08, -0.03, -51.96, 45.29
3/7/2025 20:42:40, 3, 1, 0, 0, 334924878, -820051562, 7, 766, 31278766, 0, 8.24, 259.19, 263.46, -0.02, -49.33, 45.29
3/7/2025 20:42:41, 3, 1, 0, 0, 334924918, -820051655, 13, 1028, 30457384, 0, 7.50, 254.61, 259.65, -0.03, -44.93, 45.29
3/7/2025 20:42:42, 3, 1, 0, 0, 334924960, -820051738, 13, 919, 30604188, 0, 6.92, 249.18, 255.08, -0.03, -50.96, 45.29
3/7/2025 20:42:43, 3, 1, 0, 0, 334924999, -820051818, 13, 838, 30132988, 0, 6.41, 243.19, 249.71, -0.04, -51.62, 45.29
3/7/2025 20:42:44, 3, 1, 0, 0, 334925021, -820051899, 13, 798, 29359216, 0, 5.88, 237.75, 295.13, -0.32, 1.54, -4.57
3/7/2025 20:42:44, 3, 1, 0, 200, 334925021, -820051899, 13, 798, 29359216, 1900, 5.88, 237.75, 241.07, -0.02, -52.52, -4.57
3/7/2025 20:42:49, 3, 1, 0, 0, 334925049, -820052144, 17, 283, 24735298, 0, 4.38, 218.06, 231.82, -0.08, -15.54, -4.57
3/7/2025 20:42:50, 3, 1, 0, 0, 334925005, -820052205, 17, 925, 22619572, 0, 3.65, 215.80, 221.50, -0.03, -4.69, -4.57
3/7/2025 20:42:52, 3, 1, 0, 0, 334924911, -820052303, 17, 644, 21218148, 0, 2.27, 212.62, 213.50, -0.00, 1.32, -4.57
3/7/2025 20:42:53, 3, 1, 0, 0, 334924832, -820052353, 17, 1108, 20566198, 0, 1.28, 216.33, 211.07, 0.03, 5.41, -4.57
3/7/2025 20:42:54, 3, 1, 0, 0, 334924755, -820052398, 17, 840, 20471314, 0, 11.30, 295.86, 223.62, 0.40, 18.91, -14.75
3/7/2025 20:42:54, 3, 1, 0, 200, 334924755, -820052398, 17, 840, 20471314, 1900, 11.30, 295.86, 292.37, 0.02, 87.66, -14.75
3/7/2025 20:43:1, 3, 1, 0, 0, 334924620, -820052645, 17, 935, 28432928, 0, 10.17, 309.23, 300.50, 0.05, 16.17, -14.75
3/7/2025 20:43:2, 3, 1, 0, 0, 334924640, -820052725, 17, 655, 29096492, 0, 9.46, 311.03, 306.00, 0.03, 15.03, -14.75
3/7/2025 20:43:3, 3, 1, 0, 0, 334924673, -820052804, 18, 890, 29874392, 0, 8.66, 312.38, 313.12, -0.00, 14.38, -14.75
3/7/2025 20:43:4, 3, 1, 0, 0, 334924718, -820052919, 18, 1180, 29818690, 0, 7.55, 315.03, 313.69, 0.01, 15.50, -14.75
3/7/2025 20:43:5, 3, 1, 0, 0, 334924768, -820053049, 18, 1264, 29710316, 0, 6.32, 319.20, 287.12, 0.18, -9.98, 11.38
3/7/2025 20:43:5, 3, 1, 0, 200, 334924768, -820053049, 18, 1264, 29710316, 1900, 6.32, 319.20, 315.75, 0.02, 18.64, 11.38
3/7/2025 20:43:9, 3, 1, 0, 0, 334924925, -820053285, 18, 854, 33142564, 0, 3.60, 327.44, 322.00, 0.03, -9.43, 11.38
