Time, fixType, gnssFixOk, headVehValid, invalid_llh, Lat, Lon, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError
4/8/21438 0:0:15, 97, 0, 0, 200, 0, 0, 0, 0, 1065353216, 1486, 9269534.42, 303.75, 320.37, -0.09, -10333.16, 0.00
3/29/2025 22:35:35, 3, 1, 0, 0, 334925055, -820051325, 6, 422, 30271778, 0, 23.14, 267.85, 320.37, -0.29, 17.66, 0.00
3/29/2025 22:35:35, 3, 1, 0, 0, 334925055, -820051325, 6, 422, 30271778, 0, 23.14, 267.85, 271.31, -0.02, -31.41, 0.00
3/29/2025 22:35:40, 3, 1, 0, 0, 334925113, -820051488, 6, 314, 25859276, 0, 21.67, 266.00, 264.81, 0.01, 6.22, 0.00
3/29/2025 22:35:41, 3, 1, 0, 0, 334925102, -820051527, 11, 421, 24364414, 0, 21.30, 266.26, 264.81, 0.01, 21.17, 0.00
3/29/2025 22:35:42, 3, 1, 0, 0, 334925085, -820051580, 11, 545, 24460290, 0, 20.79, 266.69, 265.62, 0.01, 21.02, 0.00
3/29/2025 22:35:43, 3, 1, 0, 0, 334925070, -820051641, 11, 570, 24742756, 0, 20.22, 267.07, 266.50, 0.00, 19.07, 0.00
3/29/2025 22:35:44, 3, 1, 0, 0, 334925054, -820051701, 11, 578, 24670386, 0, 19.66, 267.50, 266.44, 0.01, 19.73, 0.00
3/29/2025 22:35:45, 3, 1, 0, 0, 334925041, -820051763, 13, 574, 24845556, 0, 19.08, 267.86, 266.44, 0.01, 17.98, 0.00
3/29/2025 22:35:46, 3, 1, 0, 0, 334925029, -820051825, 14, 589, 25055180, 0, 18.50, 268.21, 254.52, 0.08, 3.97, 11.92
3/29/2025 22:35:47, 3, 1, 0, 0, 334925017, -820051886, 14, 575, 25192336, 0, 17.93, 268.58, 264.83, 0.02, 12.91, 11.92
3/29/2025 22:35:48, 3, 1, 0, 0, 334925010, -820051934, 15, 368, 25221012, 0, 17.48, 268.80, 270.40, -0.01, 18.19, 11.92
3/29/2025 22:35:49, 3, 1, 0, 0, 334925014, -820051987, 15, 503, 26998650, 0, 16.99, 268.61, 270.65, -0.01, 0.66, 11.92
3/29/2025 22:35:50, 3, 1, 0, 0, 334925017, -820052047, 15, 558, 27082582, 0, 16.43, 268.45, 270.65, -0.01, -0.18, 11.92
3/29/2025 22:35:51, 3, 1, 0, 0, 334925022, -820052111, 15, 589, 27161646, 0, 15.84, 268.19, 270.65, -0.01, -0.97, 11.92
3/29/2025 22:35:52, 3, 1, 0, 0, 334925024, -820052174, 15, 583, 27177934, 0, 15.26, 268.04, 270.65, -0.01, -1.13, 11.92
3/29/2025 22:35:53, 3, 1, 0, 0, 334925027, -820052239, 15, 585, 27227292, 0, 14.66, 267.83, 270.65, -0.02, -1.63, 11.92
