Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index
4/8/21462 0:0:15,97,0,0,0,0,0,0,0,0,0,9269531.26,303.75,2.06,-0.32,2.06,0,0
4/8/21466 0:0:15,97,128,97,0,1070945621,0,0,0,1090021888,0,6722372.42,251.7,5.94,-0.63,-10894.28,0,0
4/8/21466 0:0:15,97,128,97,0,1070945621,0,0,0,1090021888,0,6722372.42,251.7,254.87,-0.02,-10645.34,0,0
4/11/2025 17:59,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,244.19,0.33,244.19,0,0
4/11/2025 17:59,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,238.75,0.36,238.75,0,0
4/11/2025 17:59,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,234.56,0.38,234.56,0,0
4/11/2025 17:59,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,231,0.4,231,0,0
4/11/2025 17:59,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,228,0.42,228,0,0
4/11/2025 17:59,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,225.25,0.44,225.25,0,0
4/11/2025 17:59,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,222.44,0.45,222.44,0,0
4/11/2025 18:00,3,1,0,0,334924421,-820051039,6,184,19095776,0,23.59,286.97,219.75,0.37,28.79,0,0
4/11/2025 18:00,3,1,0,0,334924421,-820051039,6,184,19095776,0,23.59,286.97,63.13,-0.76,-127.83,-139.38,0
4/11/2025 18:00,3,1,0,0,334924421,-820051039,6,184,19095776,0,23.59,286.97,290.32,-0.02,99.36,-139.38,0
4/11/2025 18:00,3,1,0,0,334924200,-820051125,12,356,14085772,0,23.68,293.24,282.5,0.06,141.65,-139.38,0
4/11/2025 18:00,3,1,0,0,334924185,-820051086,16,465,12111316,0,24.08,293.26,137.47,0.87,16.35,12.97,0
Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index
4/8/21466 0:0:15,97,0,0,0,1065353216,1265902592,0,1306845632,480000000,16,4725916.02,36.22,2.62,0.19,-4797.38,0,0
3/27/2020 18:01,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,4.81,-0.34,4.81,0,0
4/11/2025 18:01,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,7.5,-0.35,7.5,0,0
4/11/2025 18:01,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,10.38,-0.37,10.38,0,0
4/11/2025 18:01,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,13.25,-0.39,13.25,0,0
4/11/2025 18:01,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,16,-0.4,16,0,0
4/11/2025 18:01,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,18.87,-0.42,18.87,0,0
4/11/2025 18:01,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,21.81,-0.43,21.81,0,0
4/11/2025 18:01,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,24.5,-0.45,24.5,0,0
4/11/2025 18:01,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,27.25,-0.46,27.25,0,0
4/11/2025 18:01,0,0,0,0,0,0,0,0,0,0,9269531.26,303.75,30.44,-0.48,30.44,0,0
4/8/4584 0:00,97,0,0,85,0,-1351307581,242,-31248062,-1078169146,1431658880,6670414.75,50.4,5.12,0.25,10786.82,0,0
4/11/2025 18:02,3,1,0,0,334924639,-820050808,14,223,35974160,0,25.1,280.24,8.69,-0.49,-351.05,0,0
4/11/2025 18:02,3,1,0,0,334924639,-820050808,14,223,35974160,0,25.1,280.24,283.62,-0.02,-76.12,0,0
4/11/2025 18:02,3,1,0,0,334924765,-820050835,21,206,27660912,0,24.64,277.13,276.19,0.01,-0.42,0,0
4/11/2025 18:02,3,1,0,0,334924765,-820050869,21,368,27006050,0,24.33,277.22,273.87,0.02,3.81,0,0
4/11/2025 18:02,3,1,0,0,334924763,-820050909,21,395,26328136,0,23.96,277.39,273.5,0.02,10.22,0,0
4/11/2025 18:02,3,1,0,0,334924758,-820050958,21,436,26710872,0,23.52,277.66,275.94,0.01,8.83,0,0
4/11/2025 18:02,3,1,0,0,334924760,-820051003,21,421,27349594,0,23.1,277.75,281.8,-0.02,8.31,-4.68,0
4/11/2025 18:02,3,1,0,0,334924762,-820051048,21,409,27107018,0,22.69,277.83,279.3,-0.01,8.23,-4.68,0
4/11/2025 18:02,3,1,0,0,334924761,-820051093,22,402,26735098,0,22.28,278.01,278.68,0,11.33,-4.68,0
4/11/2025 18:02,3,1,0,0,334924760,-820051139,22,437,26899190,0,21.85,278.19,278.24,0,9.25,-4.68,0
4/11/2025 18:02,3,1,0,0,334924760,-820051187,22,428,26685848,0,21.41,278.36,278.11,0,11.26,-4.68,0
