Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index
4/11/2025 18:06,3,1,0,0,334924865,-820052200,31,466,13317344,0,11.95,279.38,133.94,0.81,0.76,0,0
4/11/2025 18:06,3,1,0,0,334924865,-820052200,31,466,13317344,0,11.95,279.38,276.06,0.02,142.89,0,0
4/11/2025 18:06,3,1,0,0,334924729,-820052129,32,98,17784430,0,12.92,285.53,288.44,-0.02,110.59,0,0
4/11/2025 18:06,3,1,0,0,334924706,-820052171,31,308,27664624,0,12.62,287.12,293.87,-0.04,17.23,0,0
4/11/2025 18:06,3,1,0,0,334924697,-820052225,32,451,28796182,0,12.17,288.27,222.74,0.36,-65.23,66.45,0
4/11/2025 18:06,3,1,0,0,334924697,-820052225,32,451,28796182,0,12.17,288.27,284.92,0.02,-3.04,66.45,0
4/11/2025 18:06,3,1,0,0,334924639,-820052390,32,140,34783120,0,10.97,293.98,296.67,-0.01,-51.16,66.45,0
4/11/2025 18:06,3,1,0,0,334924646,-820052398,32,364,57358,0,10.88,293.76,301.74,-0.04,301.16,66.45,0
4/11/2025 18:06,3,1,0,0,334924667,-820052400,32,455,743637,0,10.77,292.67,296.61,-0.02,289.18,66.45,0
4/11/2025 18:06,3,1,0,0,334924686,-820052402,32,371,413060,0,10.67,291.66,294.8,-0.02,290.67,66.45,0
4/11/2025 18:06,3,1,0,0,334924714,-820052405,32,492,422225,0,10.53,290.14,295.74,-0.03,291.51,66.45,0
4/11/2025 18:06,3,1,0,0,334924747,-820052407,32,523,392713,0,10.39,288.27,291.3,-0.02,287.37,66.45,0
4/11/2025 18:06,3,1,0,0,334924778,-820052410,32,455,35743012,0,10.26,286.49,291.8,-0.03,-65.63,66.45,0
4/11/2025 18:06,3,1,0,0,334924811,-820052415,32,496,35760844,0,10.12,284.58,347.26,-0.35,-10.35,7.18,0
4/11/2025 18:06,3,1,0,0,334924811,-820052415,32,496,35760844,0,10.12,284.58,287.89,-0.02,-69.72,7.18,0
4/11/2025 18:06,3,1,0,0,334924955,-820052535,32,396,29239912,0,8.73,276.21,280.89,-0.03,-11.51,7.18,0
4/11/2025 18:06,3,1,0,0,334924962,-820052580,32,432,28467944,0,8.31,275.99,277.01,-0.01,-7.67,7.18,0
4/11/2025 18:07,3,1,0,0,334924967,-820052633,32,514,28121036,0,7.82,275.96,275.89,0,-5.32,7.18,0
4/11/2025 18:07,3,1,0,0,334924971,-820052690,32,538,27921778,0,7.28,276.05,274.95,0.01,-4.27,7.18,0
4/11/2025 18:07,3,1,0,0,334924975,-820052749,32,552,28054270,0,6.74,276.16,274.89,0.01,-5.66,7.18,0
4/11/2025 18:07,3,1,0,0,334924980,-820052807,32,561,28005732,0,6.2,276.18,289.9,-0.08,9.84,-8.09,0
4/11/2025 18:07,3,1,0,0,334924985,-820052857,32,463,28163236,0,5.73,276.13,279.71,-0.02,-1.92,-8.09,0
4/11/2025 18:07,3,1,0,0,334924982,-820052904,32,461,26603830,0,5.3,276.99,274.46,0.01,8.43,-8.09,0
