Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index
4/8/21466 0:0:15,97,0,0,200,0,0,0,0,0,1482,9269521.29,303.75,359.75,-0.31,359.75,0,0
3/27/2020 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,2.12,-0.32,2.12,0,0
3/27/2020 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,4.69,-0.34,4.69,0,0
4/11/2025 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,7.19,-0.35,7.19,0,0
4/11/2025 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,9.69,-0.37,9.69,0,0
4/11/2025 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,12,-0.38,12,0,0
4/11/2025 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,15.13,-0.4,15.13,0,0
4/11/2025 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,20,-0.42,20,0,0
4/11/2025 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,24.87,-0.45,24.87,0,0
4/11/2025 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,29.44,-0.48,29.44,0,0
4/11/2025 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,34.06,-0.5,34.06,0,0
4/11/2025 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,38.56,-0.53,38.56,0,0
4/11/2025 18:37,0,0,0,0,0,0,0,0,0,0,9269521.29,303.75,42.5,-0.55,42.5,0,0
4/8/2004 0:00,97,0,0,85,0,-1351307589,242,-31248073,-1078169146,1431658875,6670422.49,50.4,348.12,0.35,11129.82,0,0
4/11/2025 18:38,3,1,0,0,334924868,-820050924,14,359,33739240,0,13.97,263.56,349.31,-0.48,11.92,0,0
4/11/2025 18:38,3,1,0,0,334924868,-820050924,14,359,33739240,0,13.97,263.56,267.12,-0.02,-70.27,0,0
4/11/2025 18:38,3,1,0,0,334925021,-820051050,19,262,26719738,0,13.13,255.58,257.44,-0.01,-9.76,0,0
4/11/2025 18:38,3,1,0,0,334925014,-820051086,19,365,25473130,0,12.79,255.54,254,0.01,-0.73,0,0
4/11/2025 18:38,3,1,0,0,334925001,-820051127,19,438,24593574,0,12.38,255.75,253,0.02,7.06,0,0
4/11/2025 18:38,3,1,0,0,334924985,-820051172,19,472,24699312,0,11.94,256.09,262.79,-0.04,15.8,-10.48,0
4/11/2025 18:38,3,1,0,0,334924971,-820051215,19,404,24923022,0,11.51,256.36,256.41,0,7.18,-10.48,0
4/11/2025 18:38,3,1,0,0,334924950,-820051256,19,466,23519170,0,11.09,257.07,254.29,0.02,19.1,-10.48,0
4/11/2025 18:38,3,1,0,0,334924926,-820051298,19,469,23684922,0,10.65,258,252.73,0.03,15.88,-10.48,0
4/11/2025 18:38,3,1,0,0,334924902,-820051335,19,417,22972276,0,10.26,259.06,257.41,0.01,27.69,-10.48,0
4/11/2025 18:38,3,1,0,0,334924881,-820051373,19,438,24214210,0,9.87,260.01,258.04,0.01,15.9,-10.48,0
