Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index
4/8/21462 0:0:15,97,0,0,0,0,0,0,0,0,0,9269516.05,303.75,0,-0.31,0,0,0
4/8/4584 0:00,97,0,0,0,1090021888,0,0,1202590843,1064598241,1610612752,6790778.22,250.69,1.87,-0.62,-10644.11,0,0
3/27/2020 17:44,0,0,0,0,0,0,0,0,0,0,9269516.05,303.75,4,-0.33,4,0,0
4/11/2025 17:44,3,1,0,0,334925224,-820049617,4,91,0,0,22.34,249.55,6.37,-0.65,6.37,0,0
4/11/2025 17:44,3,1,0,0,334925224,-820049617,4,91,0,0,22.34,249.55,253.12,-0.02,253.12,0,0
4/11/2025 17:44,3,1,0,0,334925235,-820049928,4,350,24597422,0,19.72,246.28,242.87,0.02,-3.1,0,0
4/11/2025 17:44,3,1,0,0,334925205,-820049984,4,496,23086832,0,19.11,246.57,239.37,0.04,8.51,0,0
4/11/2025 17:44,3,1,0,0,334925165,-820050044,4,585,22554832,0,18.42,247.15,261.68,-0.08,36.13,-15.61,0
4/11/2025 17:44,3,1,0,0,334925131,-820050101,4,506,22942392,0,17.79,247.61,250.49,-0.02,21.06,-15.61,0
4/11/2025 17:44,3,1,0,0,334925058,-820050201,4,564,21605516,0,16.62,248.98,244.49,0.02,28.43,-15.61,0
4/11/2025 17:44,3,1,0,0,334925013,-820050248,4,575,21451808,0,16.04,250.1,248.3,0.01,33.78,-15.61,0
4/11/2025 17:44,3,1,0,0,334924968,-820050295,4,629,21703842,0,15.46,251.29,248.49,0.02,31.45,-15.61,0
4/11/2025 17:44,3,1,0,0,334924924,-820050343,4,642,21881422,0,14.89,252.52,248.49,0.02,29.67,-15.61,0
4/11/2025 17:44,3,1,0,0,334924882,-820050395,4,640,22271152,0,14.29,253.73,250.99,0.02,28.28,-15.61,0
4/11/2025 17:44,3,1,0,0,334924841,-820050448,4,671,22340802,0,13.69,254.98,250.99,0.02,27.58,-15.61,0
4/11/2025 17:44,3,1,0,0,334924255,-820051157,11,545,22815144,0,7.28,294.06,254.11,0.22,25.96,-15.61,0
4/11/2025 17:44,3,1,0,0,334924255,-820051157,11,545,22815144,0,7.28,294.06,261.65,0.18,33.5,13.54,0
4/11/2025 17:44,3,1,0,0,334924235,-820051370,12,237,26595584,0,5.66,304.33,290.78,0.08,24.82,13.54,0
4/11/2025 17:44,3,1,0,0,334924251,-820051425,12,165,30136924,0,5.14,305.89,308.28,-0.01,6.91,13.54,0
4/11/2025 17:44,3,1,0,0,334924277,-820051452,12,401,32111206,0,4.77,304.84,314.53,-0.05,-6.59,13.54,0
4/11/2025 17:44,3,1,0,0,334924308,-820051479,12,367,32653968,0,4.37,303.01,308.21,-0.03,-18.33,13.54,0
4/11/2025 17:44,3,1,0,0,334924340,-820051507,13,402,31402816,0,3.96,300.74,302.71,-0.01,-11.32,13.54,0
4/11/2025 17:44,3,1,0,0,334924376,-820051548,13,565,31343902,0,3.43,298.24,302.46,-0.02,-10.98,13.54,0
4/11/2025 17:44,3,1,0,0,334924411,-820051591,13,484,31258362,0,2.9,295.19,299.46,-0.02,-13.12,13.54,0
4/11/2025 17:44,3,1,0,0,334924445,-820051632,13,487,30764532,0,2.4,290.88,296.53,-0.03,-11.12,13.54,0
4/11/2025 17:44,3,1,0,0,334924475,-820051674,13,487,30788466,0,1.93,285.74,291.46,-0.03,-16.42,13.54,0
4/11/2025 17:44,3,1,0,0,334924500,-820051719,13,440,29853396,0,20.05,285.35,288.52,-0.02,-10.02,10.98,1
4/11/2025 17:44,3,1,0,0,334924518,-820051759,16,365,29433430,0,19.64,285.07,287.39,-0.01,-6.94,10.98,1
4/11/2025 17:44,3,1,0,0,334924540,-820051807,16,510,29548628,0,19.14,284.71,287.33,-0.01,-8.16,10.98,1
4/11/2025 17:44,3,1,0,0,334924565,-820051862,16,551,29649702,0,18.58,284.28,287.46,-0.02,-9.04,10.98,1
4/11/2025 17:44,3,1,0,0,334924590,-820051915,19,531,29911374,0,18.03,283.81,287.71,-0.02,-11.41,10.98,1
4/11/2025 17:44,3,1,0,0,334924615,-820051965,19,503,29953180,0,17.52,283.29,285.71,-0.01,-13.83,10.98,1
4/11/2025 17:44,3,1,0,0,334924639,-820052018,19,545,29633076,0,16.98,282.79,285.96,-0.02,-10.37,10.98,1
4/11/2025 17:44,3,1,0,0,334924662,-820052070,19,520,29816824,0,16.45,282.3,286.77,-0.02,-11.4,10.98,1
4/11/2025 17:44,3,1,0,0,334924685,-820052118,19,458,29946424,0,15.96,281.74,283.58,-0.01,-15.88,10.98,1
4/11/2025 17:44,3,1,0,0,334924706,-820052169,19,536,29565158,0,15.45,281.25,283.52,-0.01,-12.13,10.98,1
4/11/2025 17:44,3,1,0,0,334924729,-820052224,19,542,29631282,0,14.9,280.67,283.58,-0.02,-12.73,10.98,1
4/11/2025 17:44,3,1,0,0,334924751,-820052278,19,551,29663604,0,14.37,280.08,294.73,-0.08,-1.91,-0.1,1
4/11/2025 17:44,3,1,0,0,334924773,-820052327,19,469,29930446,0,13.88,279.41,283.41,-0.02,-15.89,-0.1,1
4/11/2025 17:44,3,1,0,0,334924788,-820052372,19,416,28659998,0,13.44,279,277.35,0.01,-9.25,-0.1,1
4/11/2025 17:44,3,1,0,0,334924798,-820052423,19,503,28110512,0,12.95,278.84,276.85,0.01,-4.25,-0.1,1
4/11/2025 17:44,3,1,0,0,334924807,-820052480,19,527,27891870,0,12.42,278.76,276.85,0.01,-2.07,-0.1,1
4/11/2025 17:45,3,1,0,0,334924816,-820052539,19,555,27933770,0,11.86,278.68,276.79,0.01,-2.55,-0.1,1
4/11/2025 17:45,3,1,0,0,334924826,-820052600,19,562,27994370,0,11.28,278.56,276.73,0.01,-3.22,-0.1,1
4/11/2025 17:45,3,1,0,0,334924836,-820052660,19,560,28002786,0,10.72,278.41,276.73,0.01,-3.3,-0.1,1
4/11/2025 17:45,3,1,0,0,334924847,-820052719,19,554,28038432,0,10.16,278.18,276.79,0.01,-3.6,-0.1,1
4/11/2025 17:45,3,1,0,0,334924857,-820052778,19,545,28006156,0,9.6,277.99,276.79,0.01,-3.27,-0.1,1
4/11/2025 17:45,3,1,0,0,334924867,-820052836,19,551,28037108,0,9.05,277.77,281.71,-0.02,1.34,-5.03,1
4/11/2025 17:45,3,1,0,0,334924878,-820052894,19,545,28301298,0,8.5,277.44,279.65,-0.01,-3.36,-5.03,1
4/11/2025 17:45,3,1,0,0,334924889,-820052951,19,527,27998976,0,7.96,277.06,279.65,-0.01,-0.34,-5.03,1
4/11/2025 17:45,3,1,0,0,334924899,-820053008,19,544,28098014,0,7.43,276.71,279.9,-0.02,-1.08,-5.03,1
4/11/2025 17:45,3,1,0,0,334924911,-820053067,20,545,28177498,0,6.87,276.14,280.28,-0.02,-1.5,-5.03,1
4/11/2025 17:45,3,1,0,0,334924925,-820053128,24,548,28345070,0,6.29,275.28,277.71,-0.01,-5.74,-5.03,1
4/11/2025 17:45,3,1,0,0,334924936,-820053189,24,548,27904208,0,5.71,274.58,277.71,-0.02,-1.33,-5.03,1
4/11/2025 17:45,3,1,0,0,334924950,-820053252,24,551,28052440,0,5.12,273.36,277.71,-0.02,-2.81,-5.03,1
4/11/2025 17:45,3,1,0,0,334924962,-820053315,24,548,28095476,0,4.53,272.11,274.46,-0.01,-6.49,-5.03,1
4/11/2025 17:45,3,1,0,0,334924973,-820053376,24,528,27661326,0,3.96,270.64,274.21,-0.02,-2.4,-5.03,1
4/11/2025 17:45,3,1,0,0,334924981,-820053437,24,547,27633524,0,3.4,269.25,276.52,-0.04,0.19,-7.4,1
4/11/2025 17:45,3,1,0,0,334924990,-820053499,24,557,27653158,0,2.82,267.06,269.83,-0.02,-6.7,-7.4,1
4/11/2025 17:45,3,1,0,0,334924994,-820053557,24,497,26964324,0,2.29,265.26,268.4,-0.02,-1.25,-7.4,1
4/11/2025 17:45,3,1,0,0,334924995,-820053617,24,551,26741190,0,1.74,263.38,267.9,-0.03,0.48,-7.4,1
4/11/2025 17:45,3,1,0,0,334924997,-820053679,24,563,26874158,0,23.53,284.93,265.34,0.11,-3.4,-9.21,2
4/11/2025 17:45,3,1,0,0,334924997,-820053727,24,377,26547858,0,23.1,285.21,281.53,0.02,16.05,-9.21,2
4/11/2025 17:45,3,1,0,0,334925000,-820053786,24,249,28509462,0,22.56,285.5,289.9,-0.02,4.81,-9.21,2
4/11/2025 17:45,3,1,0,0,334925013,-820053819,24,353,29418982,0,22.23,285.35,286.96,-0.01,-7.23,-9.21,2
4/11/2025 17:45,3,1,0,0,334925026,-820053865,24,454,28485242,0,21.78,285.28,285.96,0,1.11,-9.21,2
4/11/2025 17:45,3,1,0,0,334925040,-820053918,24,510,28663820,0,21.26,285.22,284.9,0,-1.74,-9.21,2
4/11/2025 17:45,3,1,0,0,334925054,-820053973,24,525,28505544,0,20.73,285.18,284.4,0,-0.65,-9.21,2
4/11/2025 17:45,3,1,0,0,334925067,-820054029,24,527,28414036,0,20.19,285.17,284.15,0.01,0.01,-9.21,2
4/11/2025 17:45,3,1,0,0,334925080,-820054086,24,534,28472866,0,19.64,285.16,284.09,0.01,-0.64,-9.21,2
4/11/2025 17:45,3,1,0,0,334925094,-820054144,24,539,28447150,0,19.08,285.14,284.03,0.01,-0.45,-9.21,2
4/11/2025 17:45,3,1,0,0,334925106,-820054202,24,541,28343790,0,18.53,285.17,283.19,0.01,-0.25,-8.44,2
4/11/2025 17:45,3,1,0,0,334925119,-820054260,24,541,28388480,0,17.97,285.18,283,0.01,-0.88,-8.44,2
4/11/2025 17:45,3,1,0,0,334925132,-820054318,24,538,28437266,0,17.42,285.18,282.75,0.01,-1.62,-8.44,2
4/11/2025 17:45,3,1,0,0,334925145,-820054376,25,540,28341062,0,16.86,285.18,282.69,0.01,-0.72,-8.44,2
4/11/2025 17:45,3,1,0,0,334925158,-820054435,25,551,28387480,0,16.29,285.2,282.63,0.01,-1.25,-8.44,2
4/11/2025 17:45,3,1,0,0,334925171,-820054495,25,559,28418626,0,15.72,285.22,282.63,0.01,-1.56,-8.44,2
4/11/2025 17:45,3,1,0,0,334925184,-820054556,25,562,28341562,0,15.13,285.26,282.63,0.01,-0.79,-8.44,2
4/11/2025 17:45,3,1,0,0,334925197,-820054617,26,568,28367418,0,14.55,285.29,282.63,0.01,-1.04,-8.44,2
4/11/2025 17:45,3,1,0,0,334925210,-820054677,26,557,28443550,0,13.97,285.32,282.63,0.01,-1.81,-8.44,2
4/11/2025 17:45,3,1,0,0,334925224,-820054737,26,558,28418712,0,13.4,285.31,282.69,0.01,-1.5,-8.44,2
4/11/2025 17:45,3,1,0,0,334925237,-820054797,26,559,28424136,0,12.82,285.34,284.14,0.01,-0.1,-9.58,2
4/11/2025 17:45,3,1,0,0,334925252,-820054856,26,563,28596936,0,12.25,285.27,284.33,0.01,-1.64,-9.58,2
4/11/2025 17:45,3,1,0,0,334925267,-820054916,26,566,28641888,0,11.67,285.2,284.39,0,-2.02,-9.58,2
4/11/2025 17:45,3,1,0,0,334925282,-820054979,27,576,28590604,0,11.06,285.16,284.39,0,-1.51,-9.58,2
4/11/2025 17:45,3,1,0,0,334925297,-820055040,27,575,28719046,0,10.47,285.08,284.39,0,-2.8,-9.58,2
