Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index
4/8/21466 0:0:15, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9269517.43, 303.75, 352.69, -0.27, 352.69, 0.00, 0
4/8/2004 0:0:15, 97, 0, 0, 200, 1090021888, 0, 0, 1202590843, 1064598241, 1483, 6790776.92, 250.69, 353.75, -0.57, -10292.23, 0.00, 0
4/11/2025 18:13:23, 2, 1, 0, 0, 334924456, -820050569, 3, 205, 243568, 0, 13.52, 276.85, 357.56, -0.45, 355.13, 0.00, 0
4/11/2025 18:13:23, 2, 1, 0, 0, 334924456, -820050569, 3, 205, 243568, 0, 13.52, 276.85, 280.44, -0.02, 278.00, 0.00, 0
4/11/2025 18:13:30, 2, 1, 0, 0, 334924554, -820050637, 3, 200, 243568, 0, 12.80, 272.34, 270.31, 0.01, 267.88, 0.00, 0
4/11/2025 18:13:31, 3, 1, 0, 0, 334924594, -820050988, 11, 380, 26195388, 0, 9.54, 270.47, 265.62, 0.03, 3.67, 0.00, 0
4/11/2025 18:13:32, 3, 1, 0, 0, 334924596, -820051026, 11, 273, 25072658, 0, 9.18, 270.35, 269.25, 0.01, 18.52, 0.00, 0
4/11/2025 18:13:33, 3, 1, 0, 0, 334924592, -820051063, 11, 375, 25815782, 0, 8.84, 270.65, 269.12, 0.01, 10.97, 0.00, 0
4/11/2025 18:13:34, 3, 1, 0, 0, 334924585, -820051106, 11, 417, 25830538, 0, 8.44, 271.21, 288.84, -0.10, 30.53, -20.46, 0
4/11/2025 18:13:35, 3, 1, 0, 0, 334924580, -820051145, 11, 342, 26131930, 0, 8.08, 271.66, 274.65, -0.02, 13.33, -20.46, 0
4/11/2025 18:13:36, 3, 1, 0, 0, 334924572, -820051174, 11, 277, 24416642, 0, 7.82, 272.36, 267.65, 0.03, 23.49, -20.46, 0
4/11/2025 18:13:37, 3, 1, 0, 0, 334924554, -820051206, 11, 401, 23323820, 0, 7.53, 273.98, 271.71, 0.01, 38.48, -20.46, 0
4/11/2025 18:13:38, 3, 1, 0, 0, 334924534, -820051238, 11, 386, 23616896, 0, 7.25, 275.90, 272.34, 0.02, 36.17, -20.46, 0
4/11/2025 18:13:39, 3, 1, 0, 0, 334924524, -820051292, 15, 446, 24702016, 0, 6.77, 277.27, 272.28, 0.03, 25.26, -20.46, 0
4/11/2025 18:13:40, 3, 1, 0, 0, 334924513, -820051344, 16, 430, 24464118, 0, 6.31, 278.92, 276.96, 0.01, 32.32, -20.46, 0
4/11/2025 18:13:41, 3, 1, 0, 0, 334924502, -820051393, 16, 440, 25199742, 0, 5.88, 280.79, 277.84, 0.02, 25.84, -20.46, 0
4/11/2025 18:13:42, 3, 1, 0, 0, 334924493, -820051442, 16, 458, 25531278, 0, 5.46, 282.71, 278.21, 0.02, 22.90, -20.46, 0
4/11/2025 18:13:43, 3, 1, 0, 0, 334924487, -820051487, 16, 469, 25069666, 0, 5.07, 284.49, 282.53, 0.01, 31.83, -20.46, 0
4/11/2025 18:13:44, 3, 1, 0, 0, 334924480, -820051539, 16, 497, 25776344, 0, 4.62, 286.92, 255.63, 0.17, -2.13, 7.56, 0
4/11/2025 18:13:44, 3, 1, 0, 0, 334924480, -820051539, 16, 497, 25776344, 0, 4.62, 286.92, 283.38, 0.02, 25.62, 7.56, 0
4/11/2025 18:13:47, 3, 1, 0, 0, 334924492, -820051655, 20, 212, 28602016, 0, 3.56, 289.90, 294.75, -0.03, 8.73, 7.56, 0
4/11/2025 18:13:48, 3, 1, 0, 0, 334924513, -820051689, 26, 393, 30226790, 0, 3.19, 287.88, 292.07, -0.02, -10.20, 7.56, 0
4/11/2025 18:13:49, 3, 1, 0, 0, 334924535, -820051728, 26, 400, 29625088, 0, 2.77, 285.37, 290.00, -0.03, -6.25, 7.56, 0
4/11/2025 18:13:50, 3, 1, 0, 0, 334924557, -820051773, 26, 471, 29428316, 0, 2.31, 282.25, 286.25, -0.02, -8.03, 7.56, 0
4/11/2025 18:13:51, 3, 1, 0, 0, 334924578, -820051819, 26, 477, 29122230, 0, 1.85, 277.97, 284.25, -0.03, -6.97, 7.56, 0
4/11/2025 18:13:52, 3, 1, 0, 0, 334924597, -820051867, 26, 472, 28807548, 0, 13.91, 287.83, 278.75, 0.05, -9.32, 7.56, 1
4/11/2025 18:13:53, 3, 1, 0, 0, 334924611, -820051905, 26, 337, 28651442, 0, 13.53, 287.66, 284.44, 0.02, -2.07, 7.56, 1
4/11/2025 18:13:54, 3, 1, 0, 0, 334924619, -820051933, 26, 249, 27904194, 0, 13.26, 287.63, 292.19, -0.03, 13.15, 7.56, 1
4/11/2025 18:13:55, 3, 1, 0, 0, 334924635, -820051969, 27, 416, 29418576, 0, 12.88, 287.33, 289.13, -0.01, -5.06, 7.56, 1
4/11/2025 18:13:56, 3, 1, 0, 0, 334924656, -820052014, 27, 456, 29317328, 0, 12.42, 286.87, 290.13, -0.02, -3.04, 7.56, 1
4/11/2025 18:13:57, 3, 1, 0, 0, 334924678, -820052063, 27, 493, 29207012, 0, 11.91, 286.38, 292.13, -0.03, 0.06, 7.56, 1
4/11/2025 18:13:58, 3, 1, 0, 0, 334924701, -820052112, 27, 492, 29758998, 0, 11.40, 285.79, 287.88, -0.01, -9.71, 7.56, 1
4/11/2025 18:13:59, 3, 1, 0, 0, 334924721, -820052155, 27, 425, 29353752, 0, 10.96, 285.24, 289.38, -0.02, -4.16, 7.56, 1
4/11/2025 18:14:0, 3, 1, 0, 0, 334924741, -820052200, 27, 461, 29547158, 0, 10.50, 284.67, 287.94, -0.02, -7.53, 7.56, 1
4/11/2025 18:14:1, 3, 1, 0, 0, 334924760, -820052242, 27, 428, 29368084, 0, 10.07, 284.06, 290.82, -0.04, -2.86, 7.56, 1
4/11/2025 18:14:2, 3, 1, 0, 0, 334924779, -820052285, 27, 451, 29607166, 0, 9.63, 283.42, 288.83, -0.03, -7.24, 4.48, 1
4/11/2025 18:14:3, 3, 1, 0, 0, 334924796, -820052322, 27, 353, 29449290, 0, 9.25, 282.78, 284.39, -0.01, -10.10, 4.48, 1
4/11/2025 18:14:4, 3, 1, 0, 0, 334924810, -820052360, 27, 387, 28692358, 0, 8.88, 282.30, 286.45, -0.02, -0.47, 4.48, 1
4/11/2025 18:14:5, 3, 1, 0, 0, 334924823, -820052399, 27, 402, 28819910, 0, 8.49, 281.87, 285.14, -0.02, -3.06, 4.48, 1
4/11/2025 18:14:6, 3, 1, 0, 0, 334924836, -820052436, 27, 353, 29126430, 0, 8.13, 281.37, 287.70, -0.04, -3.56, 4.48, 1
4/11/2025 18:14:7, 3, 1, 0, 0, 334924850, -820052473, 27, 385, 29089754, 0, 7.76, 280.74, 283.20, -0.01, -7.69, 4.48, 1
4/11/2025 18:14:8, 3, 1, 0, 0, 334924862, -820052508, 27, 328, 28781056, 0, 7.42, 280.19, 283.52, -0.02, -4.30, 4.48, 1
4/11/2025 18:14:9, 3, 1, 0, 0, 334924873, -820052548, 27, 416, 28386608, 0, 7.03, 279.75, 286.02, -0.03, 2.15, 4.48, 1
4/11/2025 18:14:10, 3, 1, 0, 0, 334924886, -820052591, 27, 433, 28823172, 0, 6.61, 279.10, 281.45, -0.01, -6.78, 4.48, 1
4/11/2025 18:14:11, 3, 1, 0, 0, 334924897, -820052628, 27, 351, 28581634, 0, 6.26, 278.49, 281.64, -0.02, -4.18, 4.48, 1
4/11/2025 18:14:12, 3, 1, 0, 0, 334924907, -820052670, 27, 414, 28362960, 0, 5.85, 277.97, 284.39, -0.04, 0.76, 4.48, 1
4/11/2025 18:14:13, 3, 1, 0, 0, 334924919, -820052711, 27, 398, 28795402, 0, 5.46, 277.14, 283.87, -0.04, -4.08, 0.44, 1
4/11/2025 18:14:14, 3, 1, 0, 0, 334924929, -820052742, 27, 266, 28955070, 0, 5.16, 276.31, 277.43, -0.01, -12.12, 0.44, 1
