Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index
4/8/21466 0:0:15,129,0,0,0,0,0,0,0,0,0,9269517.43,303.75,352.69,-0.27,352.69,0,0
4/8/2004 0:00,97,0,0,200,1090021888,0,0,1202590843,1064598241,1483,6790776.92,250.69,353.75,-0.57,-10292.23,0,0
4/11/2025 18:13,2,1,0,0,334924456,-820050569,3,205,243568,0,13.52,276.85,357.56,-0.45,355.13,0,0
4/11/2025 18:13,2,1,0,0,334924456,-820050569,3,205,243568,0,13.52,276.85,280.44,-0.02,278,0,0
4/11/2025 18:13,2,1,0,0,334924554,-820050637,3,200,243568,0,12.8,272.34,270.31,0.01,267.88,0,0
4/11/2025 18:13,3,1,0,0,334924594,-820050988,11,380,26195388,0,9.54,270.47,265.62,0.03,3.67,0,0
4/11/2025 18:13,3,1,0,0,334924596,-820051026,11,273,25072658,0,9.18,270.35,269.25,0.01,18.52,0,0
4/11/2025 18:13,3,1,0,0,334924592,-820051063,11,375,25815782,0,8.84,270.65,269.12,0.01,10.97,0,0
4/11/2025 18:13,3,1,0,0,334924585,-820051106,11,417,25830538,0,8.44,271.21,288.84,-0.1,30.53,-20.46,0
4/11/2025 18:13,3,1,0,0,334924580,-820051145,11,342,26131930,0,8.08,271.66,274.65,-0.02,13.33,-20.46,0
4/11/2025 18:13,3,1,0,0,334924572,-820051174,11,277,24416642,0,7.82,272.36,267.65,0.03,23.49,-20.46,0
4/11/2025 18:13,3,1,0,0,334924554,-820051206,11,401,23323820,0,7.53,273.98,271.71,0.01,38.48,-20.46,0
4/11/2025 18:13,3,1,0,0,334924534,-820051238,11,386,23616896,0,7.25,275.9,272.34,0.02,36.17,-20.46,0
4/11/2025 18:13,3,1,0,0,334924524,-820051292,15,446,24702016,0,6.77,277.27,272.28,0.03,25.26,-20.46,0
4/11/2025 18:13,3,1,0,0,334924513,-820051344,16,430,24464118,0,6.31,278.92,276.96,0.01,32.32,-20.46,0
4/11/2025 18:13,3,1,0,0,334924502,-820051393,16,440,25199742,0,5.88,280.79,277.84,0.02,25.84,-20.46,0
