Latitude,Longitude,SIV,heading,speed,distanceBetween,targetHeading,currentHeading,headingError,gpsError,averageGPSError,lat,long,index
335447667,-820349884,26,7340061,6,286.33,137.88,0.26,0.76,-73.14,0,33.5447667,-82.0349884,0
335450526,-820350449,26,15162924,239,313.92,141.07,324.41,0.98,172.78,0,33.5450526,-82.0350449,0
335450138,-820350048,26,14878446,965,308.23,141.1,269.82,-0.72,121.04,-130.18,33.5450138,-82.0350048,0
335449534,-820349506,26,12336644,728,299.84,141.04,137.46,0.02,14.09,-130.18,33.5449534,-82.0349506,0
335449508,-820349441,26,11159982,657,299.24,141.1,136.32,0.03,24.72,-130.18,33.5449508,-82.0349441,0
335449479,-820349377,26,12062412,687,298.62,141.15,92.37,0.27,-28.25,-82.08,33.5449479,-82.0349377,0
335449347,-820349181,26,13277460,920,296.33,141.24,141.08,0,8.31,-82.08,33.5449347,-82.0349181,0
335449287,-820349094,26,12791688,1108,295.31,141.28,147.67,-0.04,19.76,-82.08,33.5449287,-82.0349094,0
335449224,-820349006,26,13077666,1062,294.25,141.32,143.08,-0.01,12.31,-82.08,33.5449224,-82.0349006,0
335449166,-820348911,26,12426002,1119,293.2,141.38,142.61,-0.01,18.35,-82.08,33.5449166,-82.0348911,0
335449111,-820348809,26,12133640,1125,292.13,141.45,143.74,-0.01,22.41,-82.08,33.5449111,-82.0348809,0
335449058,-820348705,26,12151248,1151,291.07,141.52,145.27,-0.02,23.76,-82.08,33.5449058,-82.0348705,0
335449002,-820348606,26,12478978,1087,290.01,141.59,144.67,-0.02,19.88,-82.08,33.5449002,-82.0348606,0
335448947,-820348505,26,12194112,1147,288.95,141.66,146.19,-0.03,24.25,-82.08,33.5448947,-82.0348505,0
335448889,-820348408,26,12640972,1081,287.88,141.72,128.61,0.07,2.2,-68.27,33.5448889,-82.0348408,0
335448776,-820348243,26,13028298,1016,285.95,141.8,144.49,-0.01,14.21,-68.27,33.5448776,-82.0348243,0
335448710,-820348151,26,13027220,1175,284.85,141.85,148.65,-0.04,18.38,-68.27,33.544871,-82.0348151,0
335448641,-820348065,26,13484878,1081,283.75,141.88,143.34,-0.01,8.49,-68.27,33.5448641,-82.0348065,0
335448577,-820347972,26,12696672,1135,282.66,141.93,142.19,0,15.23,-68.27,33.5448577,-82.0347972,0
335448515,-820347873,26,12633934,1162,281.55,141.99,139.33,0.01,12.99,-68.27,33.5448515,-82.0347873,0
335448458,-820347775,26,12400816,1087,280.49,142.05,138.76,0.02,14.75,-68.27,33.5448458,-82.0347775,0
335448406,-820347682,26,12299520,1027,279.5,142.12,138.16,0.02,15.17,-68.27,33.5448406,-82.0347682,0
335448356,-820347596,26,12575816,959,278.58,142.18,140.1,0.01,14.34,-68.27,33.5448356,-82.0347596,0
335448305,-820347508,26,12427996,1004,277.63,142.24,141.43,0,17.15,-68.27,33.5448305,-82.0347508,0
335448255,-820347421,26,12396260,983,276.69,142.3,130.27,0.07,6.31,-54.97,33.5448255,-82.0347421,0
335448150,-820347268,26,13225208,984,274.9,142.39,145.04,-0.01,12.79,-54.97,33.544815,-82.0347268,0
335448088,-820347186,26,13115776,1044,273.89,142.43,147.62,-0.03,16.47,-54.97,33.5448088,-82.0347186,0
335448026,-820347111,26,13536550,968,272.92,142.45,144.9,-0.01,9.54,-54.97,33.5448026,-82.0347111,0
335447960,-820347029,26,13316432,1106,271.88,142.49,149,-0.04,15.84,-54.97,33.544796,-82.0347029,0
335447826,-820346876,26,13364744,1047,269.83,142.53,146.26,-0.02,12.62,-54.97,33.5447826,-82.0346876,0
335447756,-820346796,26,13619608,1089,268.76,142.56,144.58,-0.01,8.39,-54.97,33.5447756,-82.0346796,0
335447687,-820346709,26,13184022,1129,267.66,142.59,145.43,-0.02,13.59,-54.97,33.5447687,-82.0346709,0
