Longitude,Latitude,Lat,Lon,id
-820329170,335428571,33.5428571,-82.032917,1
-820318178,335420607,33.5420607,-82.0318178,2
-820308757,335413165,33.5413165,-82.0308757,3
-820300396,335406438,33.5406438,-82.0300396,4
-820292152,335399712,33.5399712,-82.0292152,5
-820287957,335394750,33.539475,-82.0287957,6
-820283499,335390077,33.5390077,-82.0283499,7
-820279246,335386026,33.5386026,-82.0279246,8
-820273173,335379705,33.5379705,-82.0273173,9
-820269877,335374998,33.5374998,-82.0269877,10
-820266513,335368490,33.536849,-82.0266513,11
-820261023,335357032,33.5357032,-82.0261023,12
-820255564,335346662,33.5346662,-82.0255564,13
-820247650,335336296,33.5336296,-82.024765,14
-820237718,335326640,33.532664,-82.0237718,15
-820218174,335310650,33.531065,-82.0218174,16
-820208972,335301497,33.5301497,-82.0208972,17
-820205233,335295460,33.529546,-82.0205233,18
-820202243,335293102,33.5293102,-82.0202243,19
-820199936,335290575,33.5290575,-82.0199936,20
-820190407,335287320,33.528732,-82.0190407,21
-820181823,335284726,33.5284726,-82.0181823,22
-820174227,335282351,33.5282351,-82.0174227,23
-820161192,335278684,33.5278684,-82.0161192,24
-820152646,335275241,33.5275241,-82.0152646,25
-820144634,335271632,33.5271632,-82.0144634,26
-820136174,335265499,33.5265499,-82.0136174,27
-820126706,335255929,33.5255929,-82.0126706,28
-820122961,335247444,33.5247444,-82.0122961,29
-820121916,335238746,33.5238746,-82.0121916,30
-820122151,335234468,33.5234468,-82.0122151,31
-820120461,335227380,33.522738,-82.0120461,32
-820116641,335221516,33.5221516,-82.0116641,33
-820114328,335218882,33.5218882,-82.0114328,34
-820102476,335211739,33.5211739,-82.0102476,35
-820097675,335207590,33.520759,-82.0097675,36
-820089742,335201641,33.5201641,-82.0089742,37
-820071959,335192439,33.5192439,-82.0071959,38
-820058692,335188431,33.5188431,-82.0058692,39
-820047248,335183712,33.5183712,-82.0047248,40
-820043698,335181082,33.5181082,-82.0043698,41
-820041639,335178014,33.5178014,-82.0041639,42
-820038277,335171133,33.5171133,-82.0038277,43
-820034795,335156972,33.5156972,-82.0034795,44
-820030524,335137689,33.5137689,-82.0030524,45
-820030822,335135175,33.5135175,-82.0030822,46
-820030447,335132517,33.5132517,-82.0030447,47
-820030053,335129641,33.5129641,-82.0030053,48
-820029597,335126766,33.5126766,-82.0029597,49
-820029503,335123781,33.5123781,-82.0029503,50
-820029530,335121634,33.5121634,-82.002953,51
-820029851,335118228,33.5118228,-82.0029851,52
-820030791,335114858,33.5114858,-82.0030791,53
-820030818,335117072,33.5117072,-82.0030818,54
-820030318,335107200,33.51072,-82.0030318,55
-820028079,335095304,33.5095304,-82.0028079,56
-820025220,335089241,33.5089241,-82.002522,57
-820017567,335078811,33.5078811,-82.0017567,58
-820011825,335068985,33.5068985,-82.0011825,59
-820005765,335061582,33.5061582,-82.0005765,60
-820007716,335066197,33.5066197,-82.0007716,61
-820002880,335058874,33.5058874,-82.000288,62
-819999333,335053722,33.5053722,-81.9999333,63
-819995927,335046593,33.5046593,-81.9995927,64
-819992063,335039003,33.5039003,-81.9992063,65
-819989135,335034116,33.5034116,-81.9989135,66
-819986742,335025376,33.5025376,-81.9986742,67
-819987493,335030326,33.5030326,-81.9987493,68
-819985465,335015463,33.5015463,-81.9985465,69
-819983802,335008119,33.5008119,-81.9983802,70
-819982149,335005085,33.5005085,-81.9982149,71
-819978985,334991410,33.499141,-81.9978985,72
-819978799,334980215,33.4980215,-81.9978799,73
-819978667,334986391,33.4986391,-81.9978667,74
-819979499,334980218,33.4980218,-81.9979499,75
-819980484,334978244,33.4978244,-81.9980484,76
-819985742,334981219,33.4981219,-81.9985742,77
-819989238,334986237,33.4986237,-81.9989238,78
-819991004,334989156,33.4989156,-81.9991004,79
-819994658,334988760,33.498876,-81.9994658,80
-819997635,334987854,33.4987854,-81.9997635,81
-820000747,334976188,33.4976188,-82.0000747,82
-820030922,334964285,33.4964285,-82.0030922,83
-820061341,334930506,33.4930506,-82.0061341,84
-820054430,334924954,33.4924954,-82.005443,85
